James "Bucky" Barnes/Clint Barton, relationship, 5183
Drax the Destroyer, character, 3353
Peter Quill, character, 8073
Fluff and Crack, freeform, 29236
Deaf Clint Barton, freeform, 3813
Escape, freeform, 4432
James "Bucky" Barnes/Reader, relationship, 14094
Reader, character, 223716
Bucky Barnes Has Issues, freeform, 1997
Bucky Barnes Feels, freeform, 7434
Protective Bucky Barnes, freeform, 6758
Surprise Kissing, freeform, 4267
Angst and Fluff and Smut, freeform, 26514
Sarah Rogers, character, 2456
Nick Fury, character, 26685
Fake/Pretend Relationship, freeform, 39402
Fake Marriage, freeform, 5519
James "Bucky" Barnes/Steve Rogers, relationship, 59578
Sexual Content, freeform, 1421369
Kinktober, freeform, 21954
Kinktober 2021, freeform, 3774
Stucky - Freeform, freeform, 0
James "Bucky" Barnes/Sam Wilson, relationship, 9531
Anal Play, freeform, 142022
Butt Plugs, freeform, 13140
Cock Rings, freeform, 6832
Orgasm Denial, freeform, 13347
James "Bucky" Barnes/Helmut Zemo, relationship, 1550
Helmut Zemo, character, 3670
Gags, freeform, 15257
Crack Treated Seriously, freeform, 44156
Phone Sex, freeform, 14153
Pepper Potts/Tony Stark, relationship, 21429
Wanda Maximoff/Vision, relationship, 5363
Steve Rogers & Tony Stark, relationship, 5612
Clint Barton & Natasha Romanov, relationship, 5563
James "Rhodey" Rhodes & Tony Stark, relationship, 4159
Bruce Banner & Tony Stark, relationship, 2679
Peter Parker & Tony Stark, relationship, 26984
Tony Stark & Avengers Team, relationship, 2740
Rocket Raccoon, character, 5630
Nebula (Marvel), character, 4083
Carol Danvers, character, 8093
Wanda Maximoff, character, 35882
Vision (Marvel), character, 13646
Agatha Harkness, character, 1269
Not Avengers: Endgame (Movie) Compliant, freeform, 4785
Clint Barton & Natasha Romanov Friendship, freeform, 2092
Team as Family, freeform, 39028
Steve Rogers & Natasha Romanov Friendship, freeform, 874
Steve Rogers/Tony Stark, relationship, 43502
Whumptober 2021, freeform, 6104
Permanent Injury, freeform, 3027
Disability, freeform, 55972
Hurt Tony Stark, freeform, 5334
Protective Steve Rogers, freeform, 6730
Married Couple, freeform, 47522
Natasha Stark, character, 480
Flufftober, freeform, 4378
Bruce Banner/Thor, relationship, 2366
Bruce Banner & Natasha Romanov, relationship, -2
Hulk (Marvel), character, 4565
Depression, freeform, 103880
Suicidal Thoughts, freeform, 79139
Bruce Banner Needs a Hug, freeform, 991
Loki Needs a Hug (Marvel), freeform, 4587
Odin's A+ Parenting (Marvel), freeform, 2254
COVID-19, freeform, 0
James "Bucky" Barnes & Sam Wilson, relationship, 3381
Christina Raynor, character, 261
Emotional Baggage, freeform, 12793
Moving On, freeform, 7539
Recovery, freeform, 37327
Warm and Fuzzy Feelings, freeform, 10244
Harley Keener, character, 6776
Tony Stark Is a Good Bro, freeform, 1614
Tony Stark is a Good Dad, freeform, 611
May Parker (Spider-Man), character, 17642
College AU, freeform, 140701
Peggy Carter/Steve Rogers, relationship, 6498
James "Bucky" Barnes & Steve Rogers, relationship, 11650
Peggy Carter, character, 18401
Angie Martinelli, character, 3026
Other Avengers, character, 3590
Canon Divergence - Post-Captain America: The Winter Soldier, freeform, 975
World Travel, freeform, 2297
Domestic Avengers, freeform, 6171
Aleksandr Vitalyevich Marchant/James Richard Wilson, relationship, 514
James Richard Wilson, character, 696
Aleksandr Vitalyevich Marchant, character, 797
Sleepovers, freeform, 8103
Blowjobs, freeform, 216533
Drug Use, freeform, 105790
Alternate Universe - Rock Band, freeform, 6788
Alternate Universe - Time Travel, freeform, 9822
Voyeurism, freeform, 63511
Minor Violence, freeform, 40538
Original Character/Original Character, relationship, 57534
Eventual Happy Ending, freeform, 28441
AU, freeform, 1918145
Robbery, freeform, 3041
Reader Insert, freeform, 66633
None, relationship, 35766
mafia, freeform, 33209
Ok Taecyeon, character, 247
Yaoi, freeform, 19895
Hwang Chansung, character, 150
Lee Junho, character, 199
Nichkhun Horvejkul, character, 163
Jang Wooyoung, character, 169
Abandoned Work - Unfinished and Discontinued, freeform, 15156
Lee Donghae, character, 3376
Kim Heechul, character, 2742
Lee Hyukjae | Eunhyuk, character, 3390
Lee Taemin, character, 5687
Dancing, freeform, 55966
Prostitution, freeform, 25651
Suicide Attempt, freeform, 51761
POV Second Person, freeform, 37027
Kim Jongwoon | Yesung, character, 2133
Drabble Collection, freeform, 28786
Triggers, freeform, 19266
Eating Disorders, freeform, 25703
Mental Health Issues, freeform, 320140
Alternate Universe - Gender Changes, freeform, 16759
Mildly Dubious Consent, freeform, 30869
Aziraphale/Crowley (Good Omens), relationship, 42865
Crowley (Good Omens), character, 45845
Aziraphale (Good Omens), character, 45843
Anxiety, freeform, 91512
Nightmares, freeform, 72761
Hastur (Good Omens), character, 2781
OMC, character, 161319
Demons, freeform, 54007
Post-Apocalypse, freeform, 12882
Beelzebub (Good Omens), character, 4176
Gabriel (Good Omens), character, 6742
Michael (Good Omens), character, 2419
Anathema Device, character, 4125
Porn With Plot, freeform, 62332
Alternate Universe - Human, freeform, 48312
BDSM, freeform, 415842
Adam Young (Good Omens), character, 3053
Feels, freeform, 155701
Unrequited Love, freeform, 90139
Requited Love, freeform, 6393
Aziraphale & Crowley (Good Omens), relationship, 11985
Newton Pulsifer, character, 2865
Pepper (Good Omens), character, 1059
Ineffable Husbands (Good Omens), freeform, 7415
Crowley Loves Aziraphale (Good Omens), freeform, 6617
Aziraphale Loves Crowley (Good Omens), freeform, 6570
Christmas, freeform, 97447
Christmas Fluff, freeform, 40771
Christmas Presents, freeform, 7612
Tooth-Rotting Fluff, freeform, 101770
Implied/Referenced Domestic Violence, freeform, 7194
Happy Ending, freeform, 389249
Protective Crowley (Good Omens), freeform, 1211
Sleepy Cuddles, freeform, 25777
Injury Recovery, freeform, 14828
Will Graham/Hannibal Lecter, relationship, 24945
Crack Crossover, freeform, 3957
Homosexuality, freeform, 153038
Historical, freeform, 75466
Adventure, freeform, 33779
Warlock Dowling, character, 1811
Snowball Fight, freeform, 4633
friends - Freeform, freeform, 657413
Fun, freeform, 8679
Post-Almost Apocalypse (Good Omens), freeform, 1785
Disabled Character, freeform, 33713
Protective Aziraphale (Good Omens), freeform, 1315
Dysfunctional Family, freeform, 17461
Genderfluid Crowley (Good Omens), freeform, 881
Aziraphale's Bookshop (Good Omens), freeform, 1225
Unhappy Ending, freeform, 17739
Suicide, freeform, 192762
Implied/Referenced Character Death, freeform, 77710
soft, freeform, 0
Self-Doubt, freeform, 12910
No Smut, freeform, 45672
No Sex, freeform, 12168
Desperation, freeform, 8606
Anal Fingering, freeform, 134855
Satan | Lucifer (Good Omens), character, 1137
Wingfic, freeform, 6537
South Downs Cottage (Good Omens), freeform, 2049
Cody Ko/Noel Miller, relationship, 383
Cody Ko, character, 422
Noel Miller, character, 408
Teacher-Student Relationship, freeform, 20322
Reader-Insert, freeform, 66634
Reader-Interactive, freeform, 4876
Cody Ko & Noel Miller, relationship, 60
Angst and Feels, freeform, 46802
Best Friends, freeform, 56971
Platonic Soulmates, freeform, 8202
Sad, freeform, 233230
Transgender, freeform, 4558
Denial, freeform, 33280
Gender Issues, freeform, 3439
Implied Sexual Content, freeform, 80945
Eminem, character, 325
Funny, freeform, 17065
Drabble, freeform, 235621
Original Child Character(s), character, 37480
Colson Baker | Machine Gun Kelly, character, 410
Phone Calls & Telephones, freeform, 21525
Fluff and Humor, freeform, 110936
Angst and Humor, freeform, 18548
Drunken Confessions, freeform, 11150
Implied/Referenced Drug Use, freeform, 25004
Plot What Plot/Porn Without Plot, freeform, 238930
Hair-pulling, freeform, 25984
Anxiety Attacks, freeform, 19434
Cat/Human Hybrids, freeform, 6014
Caretaking, freeform, 13357
Car Sex, freeform, 16807
Spit As Lube, freeform, 8109
Exhibitionism, freeform, 36250
Like, freeform, 3587
